rank,feature,mean_abs_shap
1,APF_184,0.03285552488503015
2,APF_864,0.017261539132795736
3,APF_568,0.015253550210163398
4,APF_768,0.014354903396629475
5,APF_58,0.013268222572554758
6,APF_1019,0.013234686329578155
7,APF_285,0.012946873471956704
8,APF_380,0.011274619658193532
9,APF_227,0.011236771198953393
10,APF_803,0.010842540051344038
11,APF_802,0.01063556872838903
12,APF_804,0.009436416804789415
13,APF_500,0.009062510556877517
14,APF_868,0.00851770391537135
15,APF_996,0.008409190822297338
16,APF_424,0.00713401284635465
17,APF_404,0.007021049478610429
18,APF_392,0.006979831696723255
19,APF_314,0.006974846733789481
20,APF_188,0.0067192273964002645
