rank,feature,mean_abs_shap
1,MACCS_101,0.029509336562952744
2,MACCS_70,0.0276143243689467
3,MACCS_63,0.022762626970525952
4,MACCS_112,0.022543732629590276
5,MACCS_125,0.0223773918792048
6,MACCS_105,0.02124859738530303
7,MACCS_145,0.019167558501360853
8,MACCS_16,0.01862377753309176
9,MACCS_134,0.01544797709990241
10,MACCS_133,0.01437340232624667
11,MACCS_135,0.014101358094584352
12,MACCS_119,0.013940607940626142
13,MACCS_87,0.012019164880685359
14,MACCS_22,0.011473654693225973
15,MACCS_71,0.010021431356739925
16,MACCS_115,0.009745281888530587
17,MACCS_150,0.009508710820713064
18,MACCS_123,0.008891657666224757
19,MACCS_108,0.008807159008269012
20,MACCS_163,0.008199755644184112
