rank,feature,mean_abs_shap
1,Morgan_725,0.02609887455743432
2,Morgan_960,0.02556028095407766
3,Morgan_171,0.020068139532351766
4,Morgan_333,0.017755861124204186
5,Morgan_561,0.017555170712459104
6,Morgan_753,0.017133266464150566
7,Morgan_939,0.016789581509531096
8,Morgan_807,0.012871779270653472
9,Morgan_549,0.011610083927791153
10,Morgan_831,0.011325600281554616
11,Morgan_63,0.011058365252528308
12,Morgan_301,0.01043556596548505
13,Morgan_659,0.00954449524031136
14,Morgan_433,0.009258097985372745
15,Morgan_650,0.009237367914381725
16,Morgan_726,0.009060211817167606
17,Morgan_979,0.00900200709718107
18,Morgan_893,0.008421895516043722
19,Morgan_838,0.008150895259935913
20,Morgan_794,0.008100401892779023
