rank,feature,mean_abs_shap
1,nAtomP,0.03519379845218839
2,bpol,0.02745267913229307
3,HallKierAlpha,0.01984214641660846
4,Chi2v,0.018734402563322244
5,AMR,0.015353161387498676
6,Ring Count,0.01494905858892709
7,ALogp2,0.014668279385131594
8,Molecular Weight,0.014242254399455697
9,Chi3n,0.01422797710197032
10,Chi2n,0.014226162447205913
11,fragC,0.014062251077797223
12,TPSA,0.013738335014527748
13,XLogP,0.013650841027181925
14,Chi4v,0.013308390575207541
15,VAdjMat,0.012932036102139955
16,logP,0.01259036898726395
17,Chi1v,0.01252483911880007
18,Chi4n,0.012481159021094076
19,Chi3v,0.012165474129893297
20,Heavy Atom Count,0.012080013408275752
