rank,feature,mean_abs_shap
1,APF_16,0.020996588117083492
2,APF_608,0.017556051486497793
3,APF_17,0.015015040345315337
4,APF_948,0.013854340000931326
5,APF_456,0.01233733049922885
6,APF_609,0.01195108977551503
7,APF_769,0.011046185777463987
8,APF_304,0.007841599993718532
9,APF_864,0.007549001509988281
10,APF_524,0.0074965985051070145
11,APF_768,0.006567941779892815
12,APF_252,0.006351909262425121
13,APF_549,0.006207945089054176
14,APF_960,0.005356317711967749
15,APF_696,0.005342159304088177
16,APF_294,0.005087091283674772
17,APF_888,0.004631845264767393
18,APF_949,0.0045794137024942946
19,APF_809,0.004437997059496986
20,APF_53,0.0043964930317524405
