rank,feature,mean_abs_shap
1,MACCS_29,0.04461305256475926
2,MACCS_164,0.01874632449555459
3,MACCS_103,0.018185067672686385
4,MACCS_136,0.016232188696328802
5,MACCS_134,0.01604600907523441
6,MACCS_125,0.016043732039047246
7,MACCS_88,0.015422098979691089
8,MACCS_154,0.014579686537472434
9,MACCS_161,0.013320646378773615
10,MACCS_131,0.013299202097208859
11,MACCS_97,0.01244989835457292
12,MACCS_149,0.010173998141189022
13,MACCS_159,0.009967833515574944
14,MACCS_69,0.00989409778205264
15,MACCS_160,0.009641845174046882
16,MACCS_132,0.008801104040379436
17,MACCS_118,0.008344338916620937
18,MACCS_86,0.008232917710332901
19,MACCS_109,0.008206174837741186
20,MACCS_112,0.008138282182302095
