rank,feature,mean_abs_shap
1,Morgan_192,0.03870540034638805
2,Morgan_659,0.03701161617655483
3,Morgan_578,0.028644363861112822
4,Morgan_650,0.02671805576397532
5,Morgan_350,0.01871033860500022
6,Morgan_179,0.01869051193960375
7,Morgan_705,0.0186277309716367
8,Morgan_695,0.017634812451839916
9,Morgan_807,0.017500116470658113
10,Morgan_981,0.01743103671625268
11,Morgan_674,0.01561285600517044
12,Morgan_33,0.014348547112172075
13,Morgan_222,0.012637929762135344
14,Morgan_164,0.01125746197111281
15,Morgan_314,0.011185377548716999
16,Morgan_926,0.011112957336944807
17,Morgan_875,0.010846935329235103
18,Morgan_139,0.010611735825542274
19,Morgan_935,0.01059561291228215
20,Morgan_420,0.010127028929027294
