rank,feature,mean_abs_shap
1,Chi2v,0.050401518660933
2,nHBAcc,0.04883497168626589
3,Chi2n,0.04491882378281862
4,logP,0.03713224255255412
5,ECCEN,0.029331900172523975
6,nAtomP,0.028462170110201804
7,XLogP,0.02501007532687814
8,TopoPSA,0.0240281773252836
9,ALogp2,0.0234411642673953
10,HallKierAlpha,0.019542126883075567
11,bpol,0.018767780088390997
12,Chi1n,0.017869161030451487
13,MLogP,0.017742735936192255
14,Chi3n,0.017547660672686795
15,Chi4v,0.017469352279395122
16,Molecular Weight,0.015836591907162433
17,fragC,0.014902131249005864
18,TPSA,0.014194675853680892
19,Chi1v,0.013421092008992644
20,Num H Donors,0.013037982550710755
