rank,feature,mean_abs_shap
1,APF_764,0.013130041240321667
2,APF_364,0.012203734130263488
3,APF_260,0.01208799797350628
4,APF_380,0.011140631824762054
5,APF_332,0.009030363198629562
6,APF_184,0.00887413998054567
7,APF_768,0.008171492748844255
8,APF_566,0.007878458554360715
9,APF_812,0.007091646425840389
10,APF_61,0.006956335282851643
11,APF_292,0.006932641139954491
12,APF_716,0.006932530858492256
13,APF_317,0.006685199389286679
14,APF_313,0.006217073823309828
15,APF_293,0.0060540632042361195
16,APF_349,0.005913173930281109
17,APF_552,0.00570775661673428
18,APF_728,0.005595348451045173
19,APF_314,0.005363674594535153
20,APF_700,0.005097744703183373
