rank,feature,mean_abs_shap
1,MACCS_161,0.04882905937623713
2,MACCS_146,0.028155167497860987
3,MACCS_157,0.021735468877393024
4,MACCS_158,0.02075302141105566
5,MACCS_103,0.01843976726880217
6,MACCS_154,0.016714229659086758
7,MACCS_149,0.014400121222360899
8,MACCS_141,0.012577988089290833
9,MACCS_164,0.012061195470851058
10,MACCS_114,0.012012919700096677
11,MACCS_165,0.01180049289865801
12,MACCS_134,0.009849222297467685
13,MACCS_140,0.009667255045949086
14,MACCS_131,0.009567224878839278
15,MACCS_100,0.009397075877034132
16,MACCS_107,0.00903782648682372
17,MACCS_147,0.00899426677984753
18,MACCS_111,0.008909333163374271
19,MACCS_118,0.007916328703337108
20,MACCS_112,0.007445514426210648
