rank,feature,mean_abs_shap
1,Morgan_695,0.03492847411791084
2,Morgan_659,0.028229011554845033
3,Morgan_893,0.02686802808783098
4,Morgan_674,0.01949224744945912
5,Morgan_114,0.018360946499130112
6,Morgan_389,0.017294026543667438
7,Morgan_794,0.015514169335625954
8,Morgan_147,0.015322269080075175
9,Morgan_119,0.013102951555844526
10,Morgan_268,0.011958500389325765
11,Morgan_507,0.011326628470888875
12,Morgan_420,0.010823949776044076
13,Morgan_807,0.010027177656936856
14,Morgan_881,0.008799943814689392
15,Morgan_342,0.008637458066361578
16,Morgan_222,0.0076802324471241966
17,Morgan_356,0.007089795485692243
18,Morgan_650,0.006694606060576097
19,Morgan_790,0.0062928257552787486
20,Morgan_725,0.006046567929013512
