rank,feature,mean_abs_shap
1,TPSA,0.07135701739613945
2,AMR,0.05141755813057668
3,bpol,0.045327828461078586
4,XLogP,0.04206730842261647
5,PetitjeanNumber,0.038530157212918394
6,HallKierAlpha,0.03624596983424694
7,TopoPSA,0.030195321226341512
8,ECCEN,0.02984120753848946
9,logP,0.028584937923382944
10,Chi0v,0.024112814285079977
11,Chi2v,0.023218913585824525
12,nAtomLAC,0.021119197428613873
13,Chi3v,0.020651273922717553
14,Chi3n,0.020154504042760247
15,Chi1n,0.01993575723254007
16,FractionCSP3,0.01945659029434065
17,ALogP,0.018624905425158815
18,fragC,0.01824008731581463
19,nHBAcc,0.017675689379260583
20,Chi2n,0.01675311230719348
