rank,feature,mean_abs_shap
1,APF_769,0.015721032587811885
2,APF_692,0.011740861358113423
3,APF_696,0.00992972094561892
4,APF_608,0.009217660985198446
5,APF_768,0.008671736075066244
6,APF_140,0.008541980546612286
7,APF_644,0.00695928197688406
8,APF_487,0.006876351457079375
9,APF_956,0.006868426904498054
10,APF_372,0.006774860879608391
11,APF_564,0.006662272077402886
12,APF_92,0.006566900630991449
13,APF_492,0.006494179850319817
14,APF_596,0.006334240016707193
15,APF_566,0.006133666561293773
16,APF_924,0.006097874235570092
17,APF_537,0.006044930521091741
18,APF_16,0.006000330658185982
19,APF_364,0.005987600931418325
20,APF_960,0.005737154554731858
