rank,feature,mean_abs_shap
1,MACCS_161,0.04562286379859606
2,MACCS_134,0.034650042978149886
3,MACCS_140,0.03012619344119127
4,MACCS_29,0.027122744515854513
5,MACCS_113,0.02213186552813404
6,MACCS_93,0.021477070345027483
7,MACCS_125,0.017332767554824678
8,MACCS_159,0.017159334225593684
9,MACCS_88,0.01598125465141689
10,MACCS_142,0.01577134961484344
11,MACCS_97,0.01556427594526964
12,MACCS_136,0.01507623968975861
13,MACCS_131,0.014862386297545698
14,MACCS_139,0.014851797246750242
15,MACCS_163,0.014507400874048537
16,MACCS_154,0.013939844688710184
17,MACCS_146,0.013150308069769459
18,MACCS_108,0.012695058344809395
19,MACCS_83,0.011861849167656273
20,MACCS_145,0.011791413356491596
