rank,feature,mean_abs_shap
1,Morgan_807,0.021731095052722568
2,Morgan_893,0.020703225871442788
3,Morgan_935,0.01637551299609742
4,Morgan_659,0.014540448481936842
5,Morgan_881,0.01416179999997852
6,Morgan_650,0.014079387847555348
7,Morgan_192,0.00992684481723144
8,Morgan_97,0.00884912145364868
9,Morgan_116,0.008109758413672633
10,Morgan_147,0.008048254831345088
11,Morgan_695,0.00790537815099182
12,Morgan_726,0.007563879800835994
13,Morgan_356,0.006186159444235614
14,Morgan_85,0.00586314275732263
15,Morgan_314,0.005371688091629507
16,Morgan_139,0.005352473469607204
17,Morgan_64,0.005060568925727235
18,Morgan_420,0.004776490358398495
19,Morgan_378,0.004614165711992492
20,Morgan_849,0.004574446566632347
