rank,feature,mean_abs_shap
1,MLogP,0.02129857706785549
2,TPSA,0.019112472373606193
3,XLogP,0.015804947168078457
4,nAtomP,0.014968102035149922
5,HallKierAlpha,0.013124809752973782
6,Chi3v,0.01292625816025683
7,ALogP,0.012621141578225893
8,TopoPSA,0.012450128649227715
9,nHBAcc,0.011608603309758983
10,ALogp2,0.010270965901592306
11,fragC,0.00982489496015896
12,Chi3n,0.009776253500768141
13,Chi4v,0.009690721887748189
14,logP,0.009634565452685265
15,Chi4n,0.009455023954900174
16,bpol,0.008988749479908376
17,FractionCSP3,0.00889488932036636
18,Chi1n,0.00826148825283156
19,Chi2v,0.008235794010954459
20,nAtomLAC,0.007764380330013401
