rank,feature,mean_abs_shap
1,APF_196,0.02588856309909793
2,APF_864,0.01748655787544171
3,APF_184,0.016041503541322406
4,APF_984,0.015785332268293196
5,APF_785,0.014337699776768872
6,APF_144,0.013810945056704474
7,APF_692,0.013545477013098262
8,APF_782,0.010868770135337866
9,APF_49,0.009802620669438829
10,APF_68,0.009699748845637271
11,APF_17,0.00932988889431932
12,APF_842,0.008941888709300431
13,APF_800,0.008770810363276114
14,APF_868,0.008750865994406231
15,APF_732,0.008045173490108044
16,APF_57,0.007935412985442147
17,APF_104,0.007923208667171942
18,APF_769,0.007881593291698108
19,APF_2,0.007850988073876013
20,APF_500,0.007839811260958049
