rank,feature,mean_abs_shap
1,MACCS_71,0.0454656533001397
2,MACCS_163,0.0447946147199982
3,MACCS_94,0.03965110312168282
4,MACCS_52,0.03117493721971703
5,MACCS_96,0.02546187009228301
6,MACCS_104,0.024333061897852084
7,MACCS_111,0.021905416630122364
8,MACCS_154,0.021499648591437246
9,MACCS_135,0.02114019847089988
10,MACCS_156,0.020525467079088366
11,MACCS_123,0.01933269638110301
12,MACCS_151,0.01905804154039808
13,MACCS_125,0.01859318650199359
14,MACCS_144,0.018552317795203846
15,MACCS_149,0.018400450506930146
16,MACCS_146,0.018304419550061356
17,MACCS_70,0.01727585042709438
18,MACCS_84,0.01666890891981154
19,MACCS_116,0.015493254853408188
20,MACCS_95,0.015297232857115898
