rank,feature,mean_abs_shap
1,Morgan_979,0.03703310449014338
2,Morgan_725,0.035003400342731056
3,Morgan_893,0.021683249070953436
4,Morgan_389,0.016060792227110668
5,Morgan_807,0.015511580891032266
6,Morgan_815,0.01547638335229025
7,Morgan_1,0.013817343973065117
8,Morgan_80,0.008412021436326621
9,Morgan_650,0.0074418054513713675
10,Morgan_881,0.007135072601657286
11,Morgan_816,0.005978071802679163
12,Morgan_984,0.005643037567460292
13,Morgan_794,0.0046464896599748545
14,Morgan_128,0.004551483979985824
15,Morgan_32,0.00436142209538514
16,Morgan_960,0.004209351335510369
17,Morgan_294,0.004208705543182132
18,Morgan_940,0.004032267922189439
19,Morgan_656,0.0038549664257638326
20,Morgan_227,0.0038485184559825954
