rank,feature,mean_abs_shap
1,bpol,0.037677499240835605
2,HallKierAlpha,0.0221561352769281
3,Chi0v,0.014801988501766564
4,logP,0.01385764454239644
5,ECCEN,0.013789269052573388
6,nAtomP,0.012478320731804037
7,Chi1v,0.012397137074546836
8,fragC,0.012194279168891537
9,TPSA,0.011554072953204235
10,XLogP,0.011477919522558416
11,nHBAcc,0.011339487575899433
12,Chi2v,0.010842393826793476
13,TopoPSA,0.010230211650809085
14,Chi4n,0.009508700265288899
15,ALogp2,0.009054280259273172
16,Fsp3,0.008897416709481038
17,FractionCSP3,0.008856685994009664
18,MLogP,0.008436133094325619
19,Molecular Weight,0.008427358147807793
20,AMR,0.008277489455679793
