rank,feature,mean_abs_shap
1,APF_769,0.0338016703257938
2,APF_768,0.029420178095382953
3,APF_487,0.01655813715513528
4,APF_62,0.01555179433642372
5,APF_192,0.014912783007181433
6,APF_570,0.014240315190478914
7,APF_304,0.011526941722001027
8,APF_792,0.011219147518323022
9,APF_782,0.01033233401348248
10,APF_112,0.008353892170914904
11,APF_152,0.008217386380446069
12,APF_584,0.008062882032655306
13,APF_527,0.007815898039618456
14,APF_926,0.007587304797306735
15,APF_818,0.007481343901973146
16,APF_840,0.0071474226657013765
17,APF_1022,0.0070012947610359425
18,APF_512,0.006702501313238659
19,APF_20,0.006665770626868945
20,APF_21,0.006474582847439904
