rank,feature,mean_abs_shap
1,MACCS_146,0.033592564849664254
2,MACCS_139,0.03001972071756281
3,MACCS_154,0.02675434649885295
4,MACCS_136,0.026236737126057452
5,MACCS_126,0.02423354459645088
6,MACCS_125,0.023608585868675643
7,MACCS_140,0.022754575582177913
8,MACCS_155,0.021509678578724857
9,MACCS_95,0.016857075505527893
10,MACCS_62,0.014751070484701275
11,MACCS_84,0.014387860905800525
12,MACCS_107,0.014327168560635536
13,MACCS_80,0.014068591145856913
14,MACCS_65,0.013767635152581024
15,MACCS_100,0.013667434243409314
16,MACCS_38,0.013535289662681678
17,MACCS_128,0.012816549055708655
18,MACCS_131,0.012664790767404573
19,MACCS_106,0.012401994080288973
20,MACCS_159,0.011761627802693181
