rank,feature,mean_abs_shap
1,Morgan_807,0.03333594153402557
2,Morgan_175,0.028479410755393852
3,Morgan_767,0.024368355444781477
4,Morgan_893,0.02346056204392851
5,Morgan_389,0.02054532504494178
6,Morgan_216,0.014769994723100671
7,Morgan_650,0.014737765631263444
8,Morgan_219,0.012873237001471482
9,Morgan_561,0.012130589713485835
10,Morgan_80,0.011395031384509046
11,Morgan_301,0.010443098031222132
12,Morgan_236,0.010362586345557824
13,Morgan_646,0.010308268963232612
14,Morgan_887,0.010027199602503945
15,Morgan_147,0.010019002717534897
16,Morgan_314,0.009730692587686548
17,Morgan_456,0.008199903590107607
18,Morgan_659,0.008041365388482618
19,Morgan_653,0.007460246120264803
20,Morgan_896,0.007354194499872694
