rank,feature,mean_abs_shap
1,TPSA,0.038206958502076956
2,XLogP,0.037284760574074004
3,TopoPSA,0.03379727489917711
4,ALogP,0.031891739314969
5,logP,0.027650102114738673
6,HallKierAlpha,0.027643128278970665
7,nAtomP,0.022635597087042336
8,ALogp2,0.021829815687028138
9,ECCEN,0.02033733539003593
10,AMR,0.01862318518005725
11,NumRotatableBonds,0.016737456671268976
12,nHBAcc,0.016466422145458664
13,NumSaturatedHeterocycles,0.015230815901871197
14,naAromAtom,0.014886752008109082
15,FractionCSP3,0.014880420044757122
16,NumAromaticCarbocycles,0.013963932943748304
17,Chi3v,0.012192437980700074
18,Chi4v,0.011796375042013934
19,Chi0v,0.011705036277716288
20,fragC,0.011328133449734655
