rank,feature,mean_abs_shap
1,APF_272,0.05232345059372344
2,APF_284,0.038198112554490425
3,APF_33,0.03816599364957603
4,APF_801,0.026137503292571206
5,APF_192,0.021665403805872438
6,APF_992,0.019696443001782724
7,APF_624,0.019385854361019347
8,APF_967,0.015461616135738335
9,APF_984,0.014797349682193664
10,APF_188,0.014695683130238939
11,APF_53,0.014549058200214422
12,APF_612,0.013283017038894934
13,APF_416,0.013152422007330897
14,APF_292,0.012818327231570018
15,APF_925,0.012749656475582186
16,APF_882,0.011885610570454046
17,APF_600,0.011573877924646038
18,APF_340,0.011141801459596125
19,APF_297,0.010777178510472918
20,APF_260,0.010161386752830381
