rank,feature,mean_abs_shap
1,MACCS_125,0.04182849032773601
2,MACCS_135,0.0229590791848176
3,MACCS_65,0.021500531254309535
4,MACCS_133,0.0211502395588539
5,MACCS_97,0.020344098009670245
6,MACCS_111,0.016804054549702612
7,MACCS_136,0.015879660352098597
8,MACCS_128,0.015255934215279264
9,MACCS_81,0.014961405042931607
10,MACCS_162,0.014860126384123533
11,MACCS_88,0.014699052516117849
12,MACCS_117,0.01382360512871472
13,MACCS_137,0.011931214927920266
14,MACCS_110,0.011721666742378619
15,MACCS_100,0.011337429085404648
16,MACCS_106,0.010712225404940788
17,MACCS_101,0.010395057537060689
18,MACCS_118,0.010022822025777246
19,MACCS_120,0.009896966230277112
20,MACCS_104,0.009600889566061234
