rank,feature,mean_abs_shap
1,Morgan_926,0.06367858028193009
2,Morgan_650,0.041921934694814166
3,Morgan_64,0.03558564132291054
4,Morgan_147,0.033443297444837046
5,Morgan_227,0.029114915048580797
6,Morgan_356,0.027430009796052247
7,Morgan_578,0.020990143472855213
8,Morgan_875,0.020675677325264808
9,Morgan_80,0.02051642670804494
10,Morgan_831,0.019553527870562765
11,Morgan_33,0.019477182915229277
12,Morgan_314,0.019040784394491698
13,Morgan_378,0.017294215327769747
14,Morgan_361,0.017171428781554927
15,Morgan_128,0.016824496864075035
16,Morgan_1,0.016813966445358822
17,Morgan_333,0.016323348662236434
18,Morgan_138,0.014840467177040127
19,Morgan_90,0.014257993869394593
20,Morgan_392,0.013918667652262644
