rank,feature,mean_abs_shap
1,TopoPSA,0.08498690398897306
2,nAtomP,0.06706239899039154
3,HallKierAlpha,0.06321582740729029
4,FractionCSP3,0.05664347049037478
5,ALogP,0.03771254817515499
6,nHBAcc,0.035440845922503066
7,MLogP,0.02666977506318317
8,NumAromaticHeterocycles,0.025171861316017764
9,nAtomLC,0.02427382444612121
10,XLogP,0.021509600639210567
11,Num H Acceptors,0.019314663172664594
12,logP,0.018503367222948316
13,AMR,0.017401135155431388
14,bpol,0.017202892893942966
15,Chi3n,0.01639795355179145
16,fragC,0.01482753042686762
17,Molecular Weight,0.014752294842425807
18,nHBDon,0.01368529511495775
19,ECCEN,0.012466775052101644
20,Chi0v,0.011587102411938575
