rank,feature,mean_abs_shap
1,APF_308,0.03086836985823656
2,APF_256,0.025164068038183714
3,APF_257,0.01716720502301881
4,APF_60,0.016450451652022316
5,APF_428,0.015396339118800315
6,APF_312,0.015346298411006501
7,APF_696,0.013930341414068403
8,APF_152,0.01186446600130391
9,APF_804,0.01177477277321565
10,APF_16,0.011703903846331002
11,APF_244,0.01147690954088026
12,APF_797,0.010359305527086728
13,APF_724,0.01026702893236051
14,APF_274,0.010232140513021269
15,APF_592,0.010091732140464292
16,APF_888,0.010006659172941188
17,APF_790,0.009847379863910929
18,APF_380,0.009777375580222805
19,APF_160,0.009406450568569355
20,APF_1005,0.007909817812650497
