rank,feature,mean_abs_shap
1,MACCS_104,0.07298424421439033
2,MACCS_96,0.040504024093692054
3,MACCS_145,0.03245964146878168
4,MACCS_80,0.02672061427181627
5,MACCS_75,0.023363664659475418
6,MACCS_54,0.02100463924891407
7,MACCS_108,0.01893363811897625
8,MACCS_157,0.018832642228044524
9,MACCS_106,0.01770416839606133
10,MACCS_155,0.014834148750393045
11,MACCS_130,0.014156638519386491
12,MACCS_133,0.012938590867350388
13,MACCS_120,0.01283015312418805
14,MACCS_123,0.012187243251519691
15,MACCS_91,0.011865190464691094
16,MACCS_89,0.011863268163176337
17,MACCS_103,0.011694636031723006
18,MACCS_151,0.011663919548229911
19,MACCS_53,0.011654584358105463
20,MACCS_84,0.011570423196150708
