rank,feature,mean_abs_shap
1,Morgan_659,0.030608714199639158
2,Morgan_80,0.015217259211703364
3,Morgan_714,0.014676867660939298
4,Morgan_792,0.013582967608885771
5,Morgan_849,0.012812526919210133
6,Morgan_926,0.012141975540563083
7,Morgan_558,0.008826463480716097
8,Morgan_927,0.008765510982298667
9,Morgan_580,0.007774050182293246
10,Morgan_893,0.007543793804555889
11,Morgan_713,0.007326288141555047
12,Morgan_121,0.006985744012989443
13,Morgan_138,0.006949041297780565
14,Morgan_730,0.00658099144138311
15,Morgan_1019,0.006411283787768167
16,Morgan_767,0.006163197040776794
17,Morgan_561,0.006084904755253385
18,Morgan_831,0.005982722021333878
19,Morgan_314,0.005880105000150946
20,Morgan_200,0.0058688421968442085
