rank,feature,mean_abs_shap
1,fragC,0.03205280876907688
2,MLogP,0.0215870149668575
3,Chi4n,0.01857456273339013
4,Chi3n,0.016086867706767323
5,TopoPSA,0.014160249535988361
6,Chi2n,0.013950030402439308
7,ALogP,0.013777832333287955
8,ALogp2,0.013052105614778743
9,Chi1n,0.012763669927534771
10,TPSA,0.01252130831553575
11,XLogP,0.011897285307472949
12,Chi4v,0.011539473528323546
13,HallKierAlpha,0.010719717552955631
14,AMW,0.010419009311836895
15,Molecular Weight,0.010271923020948252
16,logP,0.01026077466087784
17,bpol,0.009847482309077196
18,Fsp3,0.008919474196082317
19,AMR,0.008865419944141903
20,Num H Acceptors,0.008553442441068586
