rank,feature,mean_abs_shap
1,APF_840,0.030277843847396582
2,APF_384,0.028255510075488925
3,APF_293,0.02463321850558682
4,APF_256,0.02401748992532816
5,APF_68,0.023901982819540587
6,APF_240,0.020254149445846265
7,APF_244,0.01824787605424579
8,APF_432,0.017996970509551315
9,APF_536,0.017512502970557127
10,APF_844,0.017442401539078806
11,APF_424,0.01725142443141481
12,APF_865,0.016916968832857475
13,APF_1017,0.014540487594598325
14,APF_2,0.01422840070362189
15,APF_32,0.012885763315325711
16,APF_301,0.012388907602123323
17,APF_544,0.012062030904046091
18,APF_368,0.011946918226126651
19,APF_704,0.01071894380715579
20,APF_436,0.01058363456959183
