rank,feature,mean_abs_shap
1,MACCS_162,0.06089840424984165
2,MACCS_125,0.04771589952668323
3,MACCS_131,0.0319917387614618
4,MACCS_156,0.02778045343013624
5,MACCS_163,0.027590090750331833
6,MACCS_147,0.026692243881986644
7,MACCS_115,0.02461195416155572
8,MACCS_149,0.0238694725705893
9,MACCS_145,0.02172188146757973
10,MACCS_116,0.021692469047746552
11,MACCS_151,0.021426515487298257
12,MACCS_160,0.021210325260071636
13,MACCS_152,0.019189139906005116
14,MACCS_132,0.019096656797790497
15,MACCS_154,0.019013061041099337
16,MACCS_159,0.01835208081194538
17,MACCS_99,0.017160721376920544
18,MACCS_121,0.01657754912525302
19,MACCS_109,0.015769970809757998
20,MACCS_111,0.01573578127820338
