rank,feature,mean_abs_shap
1,Morgan_356,0.032954435525020316
2,Morgan_849,0.026050379518229548
3,Morgan_80,0.02432467874628357
4,Morgan_935,0.019755528556685723
5,Morgan_726,0.019346402415144907
6,Morgan_1,0.01832458012937449
7,Morgan_926,0.016064585272909625
8,Morgan_33,0.0157073853227836
9,Morgan_893,0.01546051638244176
10,Morgan_1019,0.014291765812871638
11,Morgan_739,0.011445806214240427
12,Morgan_128,0.010121042695205121
13,Morgan_378,0.009616989322983148
14,Morgan_695,0.008340315679842005
15,Morgan_13,0.008137878346120704
16,Morgan_807,0.0077774591886423565
17,Morgan_175,0.00704637332016718
18,Morgan_389,0.006409107253276724
19,Morgan_36,0.005852649894595361
20,Morgan_90,0.005622822779458395
