rank,feature,mean_abs_shap
1,bpol,0.038429563612135495
2,fragC,0.03443436667221881
3,HallKierAlpha,0.03176104139368325
4,Chi1n,0.025057532110549254
5,Chi4n,0.01883262742373996
6,XLogP,0.015302060177943855
7,logP,0.013716542598556886
8,ECCEN,0.01340485963156129
9,Chi4v,0.013389123886870065
10,Chi3n,0.012198280720294614
11,MLogP,0.01128167256513505
12,Fsp3,0.008489799954761996
13,Chi3v,0.008182372200568765
14,Chi2v,0.008159152106613773
15,FractionCSP3,0.007990574410908348
16,nAtomLAC,0.007856688892713529
17,ALogp2,0.007807671758650597
18,Ring Count,0.007790883989666626
19,ALogP,0.007771991143582259
20,TPSA,0.0076074755074101
