rank,feature,mean_abs_shap
1,APF_261,0.03351588252211465
2,APF_309,0.017799767494727364
3,APF_0,0.015488067442734045
4,APF_256,0.010545747854703831
5,APF_1,0.009626404120227893
6,APF_260,0.008054448642902114
7,APF_257,0.007738052572775463
8,APF_709,0.007478796442027525
9,APF_34,0.006913788342244288
10,APF_760,0.006763800721981605
11,APF_486,0.006614029779590842
12,APF_769,0.0063278391860240495
13,APF_308,0.00603001480803044
14,APF_761,0.005860715452492656
15,APF_960,0.005535812141415832
16,APF_692,0.0054904325577012055
17,APF_292,0.005373826278012284
18,APF_472,0.005338477745473776
19,APF_952,0.005155945318753194
20,APF_258,0.004790064171481159
