rank,feature,mean_abs_shap
1,MACCS_128,0.08640064837320444
2,MACCS_130,0.042614809413625256
3,MACCS_96,0.041047837792037724
4,MACCS_153,0.03969607628129085
5,MACCS_138,0.039017626334394866
6,MACCS_54,0.03339783490592559
7,MACCS_95,0.03310643650783627
8,MACCS_126,0.03262722691534004
9,MACCS_125,0.03239310732456347
10,MACCS_133,0.029325634357157696
11,MACCS_145,0.028152990580367555
12,MACCS_144,0.02718125480142313
13,MACCS_112,0.02524673677882413
14,MACCS_165,0.024762962735077516
15,MACCS_156,0.02422642914776104
16,MACCS_76,0.023968088593184313
17,MACCS_100,0.023843707473639234
18,MACCS_8,0.022631325621401924
19,MACCS_161,0.02234542655524205
20,MACCS_99,0.022196934467769863
