rank,feature,mean_abs_shap
1,Morgan_926,0.05246121211748249
2,Morgan_301,0.04466892158989544
3,Morgan_255,0.02930064453222533
4,Morgan_849,0.02344544669105414
5,Morgan_4,0.0229498160461519
6,Morgan_875,0.020134544569134723
7,Morgan_352,0.019150860845475716
8,Morgan_935,0.01741448586899623
9,Morgan_314,0.013081510389751876
10,Morgan_392,0.012588824641932863
11,Morgan_918,0.012339184493779307
12,Morgan_753,0.011949389674385412
13,Morgan_714,0.011888669948053134
14,Morgan_659,0.011852449224539869
15,Morgan_956,0.011790760246944308
16,Morgan_904,0.011536678536112064
17,Morgan_492,0.01143823875794866
18,Morgan_33,0.011220223938496969
19,Morgan_341,0.011172446525170934
20,Morgan_1,0.010950941289240151
