rank,feature,mean_abs_shap
1,MLogP,0.06626077358454954
2,Chi4n,0.04017319805282238
3,nAtomP,0.03460964661550289
4,AMR,0.0276613944738123
5,Chi2n,0.026112508823219582
6,HallKierAlpha,0.0259895246326595
7,Chi3n,0.025814997042387912
8,logP,0.021991283107997306
9,Molecular Weight,0.021594260406878146
10,NumAliphaticRings,0.01882800130302335
11,NumAliphaticHeterocycles,0.018293490255458567
12,Chi1v,0.016916965139380936
13,Chi3v,0.014977426080964055
14,FractionCSP3,0.014102136157427798
15,NumRotatableBonds,0.013954086432812868
16,Num H Donors,0.013905118010917764
17,fragC,0.013700873521814056
18,ALogp2,0.013579136949759913
19,NumSaturatedRings,0.01260026371308584
20,ECCEN,0.012008916228217077
