rank,feature,mean_abs_shap
1,APF_802,0.016838451876090413
2,APF_189,0.013117420995448985
3,APF_152,0.010707521121497582
4,APF_58,0.007857372501228055
5,APF_297,0.006132917482628137
6,APF_384,0.005872678633065735
7,APF_818,0.005817476033394423
8,APF_294,0.005103870194543391
9,APF_985,0.005078420210193685
10,APF_54,0.004443261795110394
11,APF_596,0.004007268316893908
12,APF_803,0.003796899410789079
13,APF_317,0.0037625974185505552
14,APF_925,0.0036397982627220777
15,APF_272,0.0035334355128771905
16,APF_33,0.0034628287271121173
17,APF_293,0.0034389361460340218
18,APF_572,0.0033624816191713948
19,APF_34,0.003348241557492731
20,APF_184,0.0032608733897784353
