rank,feature,mean_abs_shap
1,MACCS_135,0.012406898351218302
2,MACCS_101,0.011987061831133456
3,MACCS_129,0.011380978947324092
4,MACCS_105,0.010543958324376677
5,MACCS_142,0.009638435178258232
6,MACCS_136,0.009168505331719971
7,MACCS_110,0.009071073940792604
8,MACCS_133,0.00902002920883572
9,MACCS_117,0.00880502760876765
10,MACCS_148,0.008617294096078464
11,MACCS_132,0.008494177445576161
12,MACCS_151,0.008145574442889826
13,MACCS_79,0.007880845233093276
14,MACCS_97,0.006752502682934503
15,MACCS_92,0.006449375696120651
16,MACCS_89,0.006358092821786537
17,MACCS_94,0.006276003155276073
18,MACCS_124,0.006165696492725157
19,MACCS_154,0.005998639185952003
20,MACCS_98,0.005746065188918879
