rank,feature,mean_abs_shap
1,Morgan_935,0.029233278478955516
2,Morgan_301,0.01789183098199398
3,Morgan_433,0.017210328733920876
4,Morgan_314,0.011995105013419913
5,Morgan_807,0.01116155770830121
6,Morgan_960,0.011021554439167072
7,Morgan_694,0.010171824725042683
8,Morgan_932,0.009673142768158439
9,Morgan_695,0.009403024327714293
10,Morgan_650,0.009153909197068833
11,Morgan_227,0.008786269830866757
12,Morgan_725,0.008748744471259683
13,Morgan_63,0.008246170772354785
14,Morgan_352,0.008031747619622536
15,Morgan_199,0.007479449676534748
16,Morgan_578,0.007190242337447282
17,Morgan_201,0.0071693721029774315
18,Morgan_130,0.0069086515263511086
19,Morgan_119,0.006847656303900711
20,Morgan_80,0.0068008932124491335
