rank,feature,mean_abs_shap
1,nAtomLC,
2,HallKierAlpha,0.05028873119509757
3,nAtomP,0.0392793327400613
4,logP,0.019912709795067294
5,TPSA,0.015701863470097117
6,XLogP,0.014816664940358793
7,ALogp2,0.012672546363608195
8,MLogP,0.011874247167028966
9,Chi2v,0.009426841031871674
10,Chi2n,0.009079440301258864
11,ECCEN,0.008873581211604253
12,Chi3n,0.0088259887810614
13,Chi4v,0.008635081543564575
14,fragC,0.008632837701148113
15,TopoPSA,0.008590228623248491
16,ALogP,0.008167429599653055
17,AMR,0.008110943989203114
18,bpol,0.007353876230427829
19,Chi4n,0.007103934610363637
20,naAromAtom,0.006808618620471138
