rank,feature,mean_abs_shap
1,APF_53,0.027620439336386228
2,APF_184,0.013025989383557507
3,APF_189,0.012448779675232184
4,APF_498,0.012091185082548481
5,APF_52,0.009405083114448093
6,APF_554,0.008564634140440503
7,APF_1,0.006924739599731887
8,APF_48,0.006610893644977458
9,APF_315,0.0052573371951349455
10,APF_152,0.0045686136224153675
11,APF_497,0.004386580907542795
12,APF_572,0.004358579309536574
13,APF_60,0.004355176607012796
14,APF_336,0.004120214033478809
15,APF_500,0.00384770948824202
16,APF_885,0.003638764599935928
17,APF_688,0.0035659649112899034
18,APF_436,0.003532647212542237
19,APF_308,0.0033462573941732132
20,APF_34,0.0033242799283202187
