rank,feature,mean_abs_shap
1,MACCS_94,0.03547961914220284
2,MACCS_90,0.02819432017198646
3,MACCS_151,0.019222965798162447
4,MACCS_115,0.01663578813454699
5,MACCS_157,0.015581069001020959
6,MACCS_91,0.015468207978991119
7,MACCS_153,0.01534586351636932
8,MACCS_155,0.014703006814138478
9,MACCS_100,0.01371396628914773
10,MACCS_112,0.013340057144703652
11,MACCS_154,0.013234545096150347
12,MACCS_49,0.013190223320884759
13,MACCS_54,0.013063827545234899
14,MACCS_80,0.01239062709741562
15,MACCS_95,0.012106640491504023
16,MACCS_129,0.01180724927079405
17,MACCS_125,0.011571572611171314
18,MACCS_97,0.011271022458676798
19,MACCS_98,0.010518834487678097
20,MACCS_160,0.009872469001391009
