rank,feature,mean_abs_shap
1,Morgan_80,0.030430334767224187
2,Morgan_695,0.021320688413817845
3,Morgan_881,0.015221521614346829
4,Morgan_875,0.014083192948588513
5,Morgan_833,0.012806160908215722
6,Morgan_392,0.011788981817703792
7,Morgan_314,0.011067456608201486
8,Morgan_227,0.010815614463156119
9,Morgan_452,0.010625620381002586
10,Morgan_432,0.010602079531064443
11,Morgan_301,0.00938645600939081
12,Morgan_698,0.009275216145043303
13,Morgan_1017,0.009099072697048318
14,Morgan_250,0.008923703532985043
15,Morgan_458,0.008528676788708415
16,Morgan_896,0.008500879072989551
17,Morgan_926,0.008443378572086156
18,Morgan_21,0.008403662957542139
19,Morgan_138,0.007950541698062428
20,Morgan_484,0.007390572484668723
