rank,feature,mean_abs_shap
1,HallKierAlpha,0.02907766719018942
2,nAtomP,0.02561828993693197
3,FractionCSP3,0.020932362771286427
4,Fsp3,0.020732270724083575
5,bpol,0.02010739183600277
6,TopoPSA,0.01821550392060908
7,XLogP,0.012772113198211693
8,Chi4v,0.01206272728852935
9,ALogp2,0.010669977581789678
10,ALogP,0.010489906297955993
11,TPSA,0.0098625107863559
12,MLogP,0.009773710396970265
13,fragC,0.009701985503504445
14,nAtomLC,0.009292807005302467
15,Num H Acceptors,0.008711003422434102
16,logP,0.008330415168661679
17,Chi2v,0.008163614545248315
18,Chi4n,0.007841558008654333
19,Chi3v,0.007802372905518815
20,Molecular Weight,0.007590496467246857
