rank,feature,mean_abs_shap
1,APF_992,0.02403168137093623
2,APF_392,0.021535791496865575
3,APF_748,0.019591609563908836
4,APF_486,0.014876754254756595
5,APF_444,0.013817078603089698
6,APF_276,0.012685182853394341
7,APF_696,0.01251761894169442
8,APF_692,0.01134639498483278
9,APF_816,0.010880870541855452
10,APF_487,0.010679766831796021
11,APF_812,0.010635510677463378
12,APF_108,0.010354627433797328
13,APF_244,0.01017223302110601
14,APF_784,0.008559819540901582
15,APF_412,0.008515157079053828
16,APF_88,0.008394047365745026
17,APF_768,0.00831583895974181
18,APF_260,0.008270763245075865
19,APF_632,0.008051736526544817
20,APF_436,0.007854585208338679
