rank,feature,mean_abs_shap
1,MACCS_125,0.03439974748264225
2,MACCS_104,0.029274236261537995
3,MACCS_100,0.027017454209652184
4,MACCS_85,0.02212167253314639
5,MACCS_132,0.01928227725986485
6,MACCS_135,0.017065462838725978
7,MACCS_86,0.016366652930822522
8,MACCS_139,0.016336328559273583
9,MACCS_121,0.014903350177812002
10,MACCS_84,0.014233213119643066
11,MACCS_162,0.014116467227266392
12,MACCS_111,0.013814054440295664
13,MACCS_131,0.012948179695571979
14,MACCS_93,0.012756819408175496
15,MACCS_120,0.012009204451006658
16,MACCS_98,0.011854078511513882
17,MACCS_82,0.011716687737192153
18,MACCS_54,0.01136157474088203
19,MACCS_160,0.010708025856568305
20,MACCS_89,0.009992457534828775
