rank,feature,mean_abs_shap
1,Morgan_80,0.03597764240013848
2,Morgan_926,0.028572919663972553
3,Morgan_935,0.026264024325071824
4,Morgan_227,0.022525661145798234
5,Morgan_849,0.015917176060677194
6,Morgan_147,0.01518917088203501
7,Morgan_578,0.014463330659387763
8,Morgan_456,0.01137944182216927
9,Morgan_128,0.0109453076349998
10,Morgan_1019,0.009891724580606593
11,Morgan_1,0.009635264238657378
12,Morgan_356,0.009382800397848164
13,Morgan_301,0.009167599190349873
14,Morgan_90,0.00863146363374165
15,Morgan_726,0.007606159479665466
16,Morgan_875,0.007300919886490762
17,Morgan_881,0.006566261711834958
18,Morgan_713,0.006542474746333057
19,Morgan_893,0.006388588780516928
20,Morgan_233,0.006185183812028572
