rank,feature,mean_abs_shap
1,XLogP,0.0455309038185852
2,logP,0.04040537853372503
3,ALogP,0.03922498620542452
4,Fsp3,0.02338155028632988
5,FractionCSP3,0.02099888428502263
6,ALogp2,0.01840134857241163
7,bpol,0.01791067756090679
8,nAtomP,0.015594040864491928
9,nHBAcc,0.013630668320347318
10,fragC,0.011795392693038817
11,Chi1n,0.011270627250785772
12,nAtomLC,0.011121398343468602
13,HallKierAlpha,0.010005365148084889
14,Chi1v,0.009514206559761642
15,Chi4v,0.009438975702851621
16,Chi3v,0.009121874423424074
17,Chi3n,0.00877172471232163
18,AMR,0.008624893134933287
19,Chi4n,0.008501911233456646
20,Chi2v,0.0076799854030335435
