rank,feature,mean_abs_shap
1,APF_804,0.013298896011721014
2,APF_252,0.012409197227816542
3,APF_692,0.012011094584251198
4,APF_433,0.011334326979754518
5,APF_432,0.010081416704136864
6,APF_764,0.008857697551914354
7,APF_304,0.008366478164368266
8,APF_112,0.0076145976252752785
9,APF_693,0.007413892110862359
10,APF_801,0.006317202337726664
11,APF_805,0.0055608942392684916
12,APF_824,0.005495698079558795
13,APF_256,0.0048409444178030715
14,APF_1022,0.00461618991785453
15,APF_516,0.0041203337585867614
16,APF_380,0.004030536217321344
17,APF_32,0.003926888692708934
18,APF_2,0.003685156271421415
19,APF_184,0.0036527719939424856
20,APF_584,0.0034061985796583327
