rank,feature,mean_abs_shap
1,MACCS_146,0.04672075890289237
2,MACCS_140,0.03410532819738401
3,MACCS_125,0.021972295944296224
4,MACCS_111,0.017874105913552273
5,MACCS_120,0.01692406498778844
6,MACCS_158,0.015199688117916764
7,MACCS_75,0.014931582220168998
8,MACCS_139,0.013189314319792981
9,MACCS_121,0.012552651804393784
10,MACCS_163,0.012342141796036278
11,MACCS_102,0.01185221694604769
12,MACCS_161,0.011583599045608604
13,MACCS_136,0.010812430282700214
14,MACCS_100,0.009510366627689181
15,MACCS_62,0.009234014693357918
16,MACCS_80,0.009229752622959648
17,MACCS_24,0.008544138886096071
18,MACCS_122,0.008529117513613613
19,MACCS_98,0.008517070058812
20,MACCS_145,0.00775642996928796
