rank,feature,mean_abs_shap
1,Morgan_935,0.04553962209101435
2,Morgan_807,0.03656569140206123
3,Morgan_753,0.024679115682878203
4,Morgan_90,0.02108360041411444
5,Morgan_121,0.02025870778533452
6,Morgan_233,0.017183203655155358
7,Morgan_577,0.012909958860357024
8,Morgan_726,0.0118726959476089
9,Morgan_932,0.010970220368629843
10,Morgan_452,0.010760711871448411
11,Morgan_715,0.009673035713446469
12,Morgan_456,0.00915717340322078
13,Morgan_816,0.00869236733528529
14,Morgan_378,0.008647267472642488
15,Morgan_175,0.007377673224761298
16,Morgan_356,0.006730047203087232
17,Morgan_305,0.006139265088994501
18,Morgan_33,0.005409858399154741
19,Morgan_128,0.005377034217624547
20,Morgan_881,0.005174514594720217
