rank,feature,mean_abs_shap
1,APF_240,0.0118778281766546
2,APF_692,0.011815301667186542
3,APF_468,0.007459772497503142
4,APF_0,0.006952166306038176
5,APF_256,0.006850817791817721
6,APF_140,0.0063962537945102
7,APF_316,0.006201939001890941
8,APF_472,0.006008454358703817
9,APF_473,0.005697294021080518
10,APF_220,0.005382140394835503
11,APF_568,0.005364642983122234
12,APF_432,0.0053231734082080755
13,APF_1,0.005199788473023695
14,APF_696,0.005131464602371806
15,APF_965,0.004973687101254222
16,APF_1012,0.004941420617686007
17,APF_208,0.004387497455170317
18,APF_260,0.004302198363911181
19,APF_828,0.004228108870901688
20,APF_532,0.004213249206170805
