rank,feature,mean_abs_shap
1,MACCS_100,0.05579083618993541
2,MACCS_85,0.03605786365688114
3,MACCS_162,0.026083787328408766
4,MACCS_104,0.01894396689146862
5,MACCS_158,0.014887124453950299
6,MACCS_163,0.014043854526543758
7,MACCS_105,0.013709518365122113
8,MACCS_86,0.012789158411203181
9,MACCS_101,0.012627110683982153
10,MACCS_131,0.011773497658041657
11,MACCS_132,0.010725241765180178
12,MACCS_126,0.010701212228322935
13,MACCS_137,0.01068640675657692
14,MACCS_78,0.010415378381245403
15,MACCS_90,0.010065039461444507
16,MACCS_139,0.009788600927988316
17,MACCS_151,0.008985733534941746
18,MACCS_111,0.00843459922820181
19,MACCS_121,0.007870522406956449
20,MACCS_153,0.007288707098664522
