rank,feature,mean_abs_shap
1,Morgan_849,0.030888178292805407
2,Morgan_926,0.02458834500901362
3,Morgan_881,0.02425264206761114
4,Morgan_80,0.020988233429685307
5,Morgan_695,0.019049177047620647
6,Morgan_147,0.01900945615992709
7,Morgan_726,0.014066796983830935
8,Morgan_935,0.013741001509266923
9,Morgan_145,0.0116753785323006
10,Morgan_807,0.011402075815729457
11,Morgan_816,0.011132325213431502
12,Morgan_786,0.01060354073619471
13,Morgan_591,0.010561185669884716
14,Morgan_175,0.010380521161523193
15,Morgan_263,0.01020589619197857
16,Morgan_675,0.010178238989830413
17,Morgan_456,0.009833991149167227
18,Morgan_233,0.009696280544888827
19,Morgan_33,0.00962804118928923
20,Morgan_90,0.008782637366692813
