rank,feature,mean_abs_shap
1,logP,0.03637655674258785
2,Chi3v,0.03310550494343339
3,XLogP,0.032746011859549236
4,Num H Donors,0.030285875488812133
5,FractionCSP3,0.03009078556411984
6,Chi4n,0.026816647086036562
7,Chi1v,0.022623146402550906
8,HallKierAlpha,0.02237394839478689
9,TPSA,0.022137792516865942
10,nAtomP,0.021899174241364325
11,Ring Count,0.02071581082919397
12,Chi4v,0.0202414790986408
13,nAtomLC,0.018919173168383045
14,NumAliphaticHeterocycles,0.018828379572216784
15,nHBAcc,0.01773118501822859
16,Chi3n,0.01653782731718142
17,TopoPSA,0.016272307158374515
18,ALogP,0.015652270416849745
19,ECCEN,0.015623769004566643
20,AMR,0.014591819254512804
