rank,feature,mean_abs_shap
1,APF_480,0.02942187294331516
2,APF_768,0.02858162213055482
3,APF_801,0.026496308096919687
4,APF_487,0.025025578330501612
5,APF_296,0.024439370297694035
6,APF_568,0.02373828282418774
7,APF_60,0.02272139157999885
8,APF_44,0.02103564807123229
9,APF_221,0.017628035691288495
10,APF_704,0.016509739294812534
11,APF_676,0.010837346718573714
12,APF_21,0.010178858005203678
13,APF_100,0.010055746086189364
14,APF_884,0.00986280519173894
15,APF_548,0.008783604854183395
16,APF_780,0.008132037213363206
17,APF_52,0.007867747500181658
18,APF_120,0.007865036196608659
19,APF_800,0.007792203302395219
20,APF_897,0.006722590934775876
