rank,feature,mean_abs_shap
1,MACCS_156,0.05411704416484827
2,MACCS_146,0.04699347075030582
3,MACCS_109,0.039449416073167716
4,MACCS_131,0.03625592424326932
5,MACCS_162,0.028596457760635737
6,MACCS_160,0.025596137404000772
7,MACCS_116,0.024598874155358573
8,MACCS_152,0.022998753914400854
9,MACCS_115,0.02255508995198836
10,MACCS_145,0.022062419770257986
11,MACCS_130,0.02012912074586026
12,MACCS_124,0.018759429503647167
13,MACCS_157,0.01819854346198363
14,MACCS_154,0.018060347805462427
15,MACCS_100,0.015916192719640006
16,MACCS_103,0.015719634550763424
17,MACCS_125,0.01493908188809212
18,MACCS_139,0.01428365033535874
19,MACCS_110,0.013802962830878375
20,MACCS_164,0.013324060145034506
