rank,feature,mean_abs_shap
1,Morgan_849,0.044445621162699525
2,Morgan_887,0.03580923201083143
3,Morgan_807,0.030014566116554346
4,Morgan_650,0.029417934119936793
5,Morgan_875,0.025297340149630636
6,Morgan_128,0.024978035665032285
7,Morgan_893,0.022104640962302996
8,Morgan_659,0.017223563695186243
9,Morgan_314,0.015051518113892095
10,Morgan_356,0.014134802485284923
11,Morgan_294,0.009246263852500375
12,Morgan_726,0.009232973017179862
13,Morgan_33,0.00817566978328427
14,Morgan_591,0.007996388694942333
15,Morgan_222,0.006795102354059721
16,Morgan_225,0.005961812178146327
17,Morgan_935,0.005250293438047271
18,Morgan_147,0.0051330547408216885
19,Morgan_80,0.00506149866797799
20,Morgan_389,0.004984722238594288
