rank,feature,mean_abs_shap
1,TPSA,0.03890296886955321
2,HallKierAlpha,0.03760062023568571
3,TopoPSA,0.022471468803557607
4,nAtomP,0.019829298270443423
5,ALogP,0.017478414583129244
6,ALogp2,0.013966437603428456
7,XLogP,0.012581636479976862
8,bpol,0.011746147162944372
9,ECCEN,0.011446806940002403
10,FractionCSP3,0.010026169823439552
11,nB,0.0100093046004248
12,Fsp3,0.009145709913060997
13,Chi3v,0.008887044813805289
14,fragC,0.00865083919081203
15,Heavy Atom Count,0.008575878173145082
16,nHBDon,0.00856704837064761
17,Chi2n,0.008462493228541893
18,AMR,0.008421829863503396
19,LabuteASA,0.008036325251116106
20,Num H Donors,0.007801937238369034
