rank,feature,mean_abs_shap
1,APF_768,0.01178201568621115
2,APF_484,0.011337990725013732
3,APF_769,0.009190257662791336
4,APF_789,0.006708385042934179
5,APF_472,0.006557035305156536
6,APF_156,0.0065364103487583905
7,APF_256,0.005776536543493168
8,APF_1022,0.005324732185996196
9,APF_245,0.005299836644602014
10,APF_473,0.004788910587419435
11,APF_56,0.004614364644711689
12,APF_538,0.004602212957414878
13,APF_780,0.0044812261626733406
14,APF_28,0.0043534111545712765
15,APF_748,0.004201000417200882
16,APF_100,0.004001063279467141
17,APF_220,0.0037898516997211243
18,APF_624,0.0037025354492639558
19,APF_500,0.0036925904435162094
20,APF_1004,0.0036619282637245522
